WA0NGMCP37610,MW0NGMCP37610,LangBo:rig 'dzin kun bzang rdo rje'i rnam thar skal ldan snying gi mun sel rig pa'i sgron ma/
WA0NGMCP37611,MW0NGMCP37611,P4956:LangBo:lo rgyus rdzogs pa chen po'i gzhir bzhags/
WA0NGMCP37612,MW0NGMCP37612,P825:LangBo:ro snyoms kyi nyams len sgang du bsgril ba/
WA0NGMCP37613,MW0NGMCP37613,LangBo:khyung khra man ngag lugs kyi sgrubs thabs dang rjes gnang dang bcas/
WA0NGMCP37614,MW0NGMCP37614,LangBo:rdzogs pa chen po lta ba'i yang snying sangs rgyas thams cad kyi dgongs pa nam mkha' klong yangs kyi rgyud/
WA0NGMCP37615,MW0NGMCP37615,LangBo:dus bzhi mnyam sbyor gyi gegs sel/
WA0NGMCP37616,MW0NGMCP37616,P7695:LangBo:glang lo spyi'i gegs sel bdud rtsi bum pa yang zab/
WA0NGMCP37617,MW0NGMCP37617,LangBo:rdzogs pa chen po 'khor ba tshar nas gcod pa chos sku skye med rig pa'i rgyud/
WA0NGMCP37618,MW0NGMCP37618,LangBo:rdzogs chen shin tu sbyor ba sangs rgyas thams cad 'byung ba'i rgyud/
WA0NGMCP37619,MW0NGMCP37619,LangBo:bcom ldan 'das dpal gshin rje tshe bdag nag po'i dbang gi cho ga me tog 'phreng ba/
WA0NGMCP37620,MW0NGMCP37620,P470:LangBo:thos bsam yid mos pa'i rin po che sa'i bcud len/
WA0NGMCP37621,MW0NGMCP37621,P37:LangBo:rgyal sras thogs med bzang po dpal gyis mdzad pa'i blo sbyong don bdun ma'i gsol 'debs rgyal dbang lnga pas mdzad pa/
WA0NGMCP37622,MW0NGMCP37622,LangBo:bsod nams glang po bstobs bskyed kyi 'khor lo'i zin bris don kun gsal byed/
WA0NGMCP37623,MW0NGMCP37623,P1693:LangBo:rdo rje gtum po'i dug sbyongs khrus chog dang bcas pa/
